11515 //  .hack GU Rebirth //  $12.82 //  $15.19 //  $39.99 // 
4978 //  Ape Escape 2 //  $19.99 //  $31.50 //  $65.90 // 
10752 //  Ape Escape 3 //  $18.68 //  $24.28 //  $48.00 // 
10753 //  Ape Escape Pumped and Primed //  $10.39 //  $20.01 //  $32.41 // 
4979 //  Aqua Aqua //  $3.36 //  $6.98 //  $12.54 // 
10298 //  Aqua Teen Hunger Force Zombie Ninja Pro-Am //  $7.19 //  $15.82 //  $21.52 // 
16230 //  Ar Tonelico 2 Melody of MetaFalica //  $36.45 //  $42.99 //  $69.35 // 
19523 //  Ar Tonelico 2 Melody of MetaFalica Limited Edition //  $31.01 //  $49.06 //  $76.79 // 
10754 //  Ar Tonelico Melody of Elemia //  $32.48 //  $49.98 //  $76.63 // 
19522 //  Ar Tonelico Melody of Elemia Limited Edition //  $45.00 //  $64.87 //  $80.88 // 
11510 //  Arc the Lad End of Darkness //  $5.63 //  $9.75 //  $14.77 // 
4980 //  Arc the Lad Twilight of the Spirits //  $6.19 //  $8.33 //  $13.23 // 
13233 //  Arcana Heart //  $11.42 //  $21.24 //  $26.10 // 
4981 //  Arctic Thunder //  $4.35 //  $6.37 //  $19.92 // 
18528 //  Are You Smarter Than A 5th Grader? Make the Grade //  $2.97 //  $3.92 //  $4.74 // 
4982 //  Area 51 //  $8.99 //  $11.45 //  $49.95 // 
8525 //  Arena Football //  $3.71 //  $5.00 //  $12.43 // 
11076 //  Arena Football Road to Glory //  $4.98 //  $7.08 //  $13.91 // 
4984 //  Armored Core 2 //  $6.52 //  $9.49 //  $30.63 // 
7270 //  Armored Core 2 Another Age //  $7.50 //  $9.26 //  $48.99 // 
4985 //  Armored Core 3 //  $7.00 //  $10.28 //  $37.00 // 
10756 //  Armored Core Last Raven //  $11.90 //  $23.63 //  $62.62 // 
10757 //  Armored Core Nexus //  $18.00 //  $42.49 //  $57.45 // 
10758 //  Armored Core Nine Breaker //  $15.22 //  $24.50 //  $26.97 // 
10423 //  Army Men Air Attack 2 //  $4.91 //  $7.66 //  $19.99 // 
4986 //  Army Men Green Rogue //  $3.37 //  $6.28 //  $18.55 // 
4987 //  Army Men RTS //  $9.56 //  $13.47 //  $60.00 // 
4988 //  "Army Men Sarges Heroes 2" //  $5.33 //  $12.60 //  $39.14 // 
15688 //  Army Men Soldiers of Misfortune //  $3.46 //  $4.42 //  $7.25 // 
10759 //  Art of Fighting Anthology //  $7.36 //  $11.85 //  $19.95 // 
4989 //  Arthur and the Invisibles //  $3.26 //  $4.42 //  $7.55 // 
10760 //  Asterix and Obelix Kick Buttix //  $13.39 //  $19.26 //  $32.01 // 
10761 //  Astro Boy //  $5.87 //  $9.25 //  $19.40 // 
35327 //  Astro Boy: The Video Game //  $4.87 //  $6.33 //  $14.27 // 
4990 //  Atari Anthology //  $6.80 //  $6.99 //  $17.95 // 
11796 //  Atelier Iris 2 the Azoth of Destiny //  $15.49 //  $30.00 //  $38.91 // 
16183 //  Atelier Iris 3 Grand Phantasm //  $19.02 //  $29.99 //  $51.63 // 
10762 //  Atelier Iris Eternal Mana //  $11.99 //  $19.52 //  $26.89 // 
4991 //  Athens 2004 //  $3.20 //  $3.84 //  $7.93 // 
4996 //  Auto Modellista //  $6.45 //  $12.01 //  $17.31 // 
10299 //  Avatar The Burning Earth //  $3.30 //  $5.10 //  $12.25 // 
4997 //  Avatar the Last Airbender //  $3.51 //  $5.19 //  $13.89 // 
15970 //  Avatar the Last Airbender Into the Inferno //  $6.47 //  $11.22 //  $21.99 // 
49784 //  Avatar the Last Airbender [Greatest Hits] //  $4.16 //  $5.41 //  $17.88 // 
14172 //  B-Boy //  $6.99 //  $10.01 //  $15.74 // 
5031 //  BMX XXX //  $7.68 //  $13.99 //  $29.99 // 
4998 //  Backyard Baseball //  $5.26 //  $5.80 //  $14.12 // 
18740 //  "Backyard Baseball 10" //  $4.43 //  $5.76 //  $8.78 // 
13895 //  Backyard Baseball 09 //  $3.72 //  $4.43 //  $5.98 // 
10764 //  Backyard Baseball 2007 //  $3.76 //  $3.83 //  $5.81 // 
4999 //  Backyard Basketball //  $4.35 //  $5.26 //  $11.75 // 
10765 //  Backyard Basketball 2007 //  $5.12 //  $5.23 //  $9.50 // 
10766 //  Backyard Football //  $3.99 //  $5.00 //  $6.15 // 
19785 //  "Backyard Football 10" //  $4.25 //  $5.95 //  $10.68 // 
10300 //  Backyard Football 08 //  $2.99 //  $4.80 //  $7.78 // 
15787 //  Backyard Football 09 //  $3.28 //  $5.95 //  $7.39 // 
5000 //  Backyard Wrestling //  $5.93 //  $9.96 //  $20.90 // 
5001 //  Backyard Wrestling 2 //  $8.54 //  $10.67 //  $20.98 // 
5002 //  Bad Boys Miami Takedown //  $3.08 //  $5.24 //  $9.32 // 
19769 //  Bakugan Battle Brawlers //  $3.14 //  $4.99 //  $6.30 // 
5003 //  "Baldurs Gate Dark Alliance" //  $10.31 //  $17.95 //  $50.00 // 
5004 //  "Baldurs Gate Dark Alliance 2" //  $29.49 //  $38.98 //  $90.01 // 
49785 //  "Baldurs Gate Dark Alliance [Greatest Hits]" //  $12.99 //  $13.99 //  $55.00 // 
19906 //  Band Hero //  $3.98 //  $4.57 //  $5.81 // 
19908 //  Band Hero Superbundle //  $69.35 //  $84.60 //  $95.30 // 
5005 //  Barbarian //  $3.49 //  $3.99 //  $10.43 // 
5006 //  Barbie Horse Adventures Wild Horse Rescue //  $7.82 //  $12.95 //  $44.13 // 
16199 //  Barbie Horse Adventures: Riding Camp //  $8.43 //  $8.57 //  $20.57 // 
10768 //  Barbie as the Island Princess //  $5.09 //  $6.33 //  $8.97 // 
10769 //  Barbie in The 12 Dancing Princesses //  $4.76 //  $5.84 //  $14.64 // 
10598 //  "Bards Tale" //  $4.61 //  $7.06 //  $12.95 // 
5007 //  Barnyard //  $9.49 //  $13.45 //  $26.31 // 
12964 //  Baroque //  $10.21 //  $20.00 //  $36.71 // 
5008 //  Bass Strike //  $3.37 //  $7.00 //  $14.89 // 
5009 //  Batman Begins //  $4.99 //  $7.56 //  $18.75 // 
5010 //  Batman Rise of Sin Tzu //  $7.84 //  $10.00 //  $43.82 // 
5011 //  Batman Vengeance //  $7.12 //  $11.48 //  $35.13 // 
14221 //  Battle Assault 3 Featuring Mobile Suit Gundam SEED //  $19.05 //  $49.99 //  $143.99 // 
10770 //  Battle Engine Aquila //  $5.36 //  $7.89 //  $17.79 // 
5012 //  Battlefield 2 Modern Combat //  $3.76 //  $5.27 //  $18.12 // 
49786 //  Battlefield 2 Modern Combat [Greatest Hits] //  $7.35 //  $7.99 //  $10.00 // 
5013 //  Battlestar Galactica //  $5.31 //  $8.50 //  $17.49 // 
10771 //  Beat Down Fists of Vengeance //  $12.13 //  $15.64 //  $35.13 // 
10772 //  Beatmania //  $7.95 //  $14.84 //  $14.99 // 
14015 //  Beatmania Bundle //  $56.00 //  $58.10 //  $107.18 // 
10317 //  Bee Movie Game //  $4.31 //  $5.00 //  $13.91 // 
15845 //  Ben 10 Alien Force //  $3.76 //  $5.12 //  $11.67 // 
10301 //  Ben 10 Protector of Earth //  $4.47 //  $6.99 //  $15.08 // 
49788 //  Ben 10 Protector of Earth [Greatest Hits] //  $3.48 //  $4.88 //  $11.71 // 
19856 //  Ben 10: Alien Force: Vilgax Attacks //  $5.86 //  $7.90 //  $16.99 // 
22106 //  Ben 10: Ultimate Alien Cosmic Destruction //  $6.02 //  $6.99 //  $12.71 // 
5014 //  Beyond Good and Evil //  $5.83 //  $10.29 //  $21.98 // 
49789 //  Beyond Good and Evil [Greatest Hits] //  $7.25 //  $7.25 //  $24.65 // 
16088 //  Biathlon 2008 //  $2.60 //  $2.83 //  $5.94 // 
5016 //  Big Mutha Truckers //  $4.48 //  $5.78 //  $15.99 // 
5017 //  Big Mutha Truckers 2 //  $4.55 //  $6.79 //  $16.30 // 
5018 //  Biker Mice From Mars //  $7.54 //  $10.55 //  $18.45 // 
5019 //  Bionicle //  $3.43 //  $4.00 //  $12.79 // 
5020 //  Bionicle Heroes //  $3.26 //  $5.25 //  $14.99 // 
5021 //  Black //  $5.92 //  $9.05 //  $36.59 // 
5023 //  Black Dual Shock Controller //  $13.95 //  $18.34 //  $47.43 // 
49790 //  Black [Greatest Hits] //  $6.57 //  $7.82 //  $15.97 // 
5022 //  Black and Bruised //  $4.99 //  $6.20 //  $10.85 // 
5024 //  Blade 2 II //  $7.35 //  $8.90 //  $25.64 // 
5025 //  Blitz the League //  $6.14 //  $7.99 //  $15.28 // 
49791 //  Blitz the League [Greatest Hits] //  $3.37 //  $7.46 //  $11.45 // 
5026 //  Blood Omen 2 //  $9.50 //  $13.88 //  $41.42 // 
10773 //  Blood Will Tell //  $99.98 //  $185.00 //  $271.50 // 
5027 //  Bloodrayne //  $6.06 //  $10.05 //  $36.13 // 
5028 //  Bloodrayne 2 //  $8.02 //  $8.88 //  $24.49 // 
5029 //  Bloody Roar 3 //  $13.16 //  $21.26 //  $56.61 // 
7278 //  Bloody Roar 4 //  $28.89 //  $38.27 //  $64.52 // 
5030 //  Blowout //  $4.17 //  $4.42 //  $7.56 // 
11482 //  Blue Dual Shock Controller //  $13.27 //  $18.17 //  $44.11 // 
10774 //  Bode Miller Alpine Skiing //  $3.42 //  $3.98 //  $5.00 // 
16006 //  Bolt //  $4.03 //  $6.82 //  $9.99 // 
10775 //  Bombastic //  $4.91 //  $6.87 //  $13.49 // 
18478 //  Boogie //  $2.25 //  $2.99 //  $4.54 // 
10504 //  Boogie Bundle //  $3.76 //  $4.22 //  $5.56 // 
10776 //  Bratz Forever Diamondz //  $6.83 //  $8.45 //  $9.30 // 
15729 //  Bratz Girlz Really Rock! //  $7.95 //  $10.59 //  $11.31 // 
5032 //  Bratz Rock Angelz //  $6.81 //  $9.04 //  $15.95 // 
10302 //  Bratz: The Movie //  $7.29 //  $8.03 //  $14.31 // 
10777 //  Brave The Search for Spirit Dancer //  $4.06 //  $6.57 //  $11.64 // 
5033 //  Breath of Fire Dragon Quarter //  $8.40 //  $11.49 //  $24.62 // 
5034 //  "Breeders Cup World Thoroughbred Championships" //  $3.14 //  $4.51 //  $6.22 // 
5035 //  Britney Spears Dance Beat //  $3.54 //  $5.95 //  $14.99 // 
5037 //  Brothers in Arms Earned in Blood //  $3.21 //  $4.78 //  $16.82 // 
5038 //  Brothers in Arms Road to Hill 30 //  $2.99 //  $5.06 //  $7.99 // 
49792 //  Brothers in Arms Road to Hill 30 [Greatest Hits] //   //   //   // 
7280 //  Brunswick Pro Bowling //  $2.60 //  $4.28 //  $5.32 // 
13900 //  Buffy the Vampire Slayer Chaos Bleeds //  $9.41 //  $12.50 //  $46.33 // 
10778 //  Bujingai The Forsaken City //  $8.50 //  $14.92 //  $46.03 // 
10589 //  Bully //  $8.24 //  $12.27 //  $24.49 // 
36282 //  "Bully Collectors Edition" //  $49.18 //  $124.50 //  $319.99 // 
49793 //  Bully [Greatest Hits] //  $9.37 //  $12.16 //  $22.85 // 
5039 //  Burnout //  $5.12 //  $5.96 //  $19.85 // 
5040 //  Burnout 2 Point of Impact //  $5.49 //  $6.57 //  $32.11 // 
5041 //  Burnout 3 Takedown //  $7.99 //  $9.85 //  $36.61 // 
49794 //  Burnout 3 Takedown [Greatest Hits] //  $8.50 //  $9.29 //  $28.22 // 
18569 //  Burnout Anthology //  $22.34 //  $29.04 //  $81.31 // 
10779 //  Burnout Dominator //  $4.96 //  $7.07 //  $15.48 // 
5042 //  Burnout Revenge //  $5.80 //  $7.01 //  $24.30 // 
49795 //  Burnout Revenge [Greatest Hits] //  $2.52 //  $8.56 //  $8.74 // 
5043 //  Butt Ugly Martians Zoom or Doom //  $3.79 //  $7.01 //  $14.95 // 
10780 //  Buzz Junior Jungle Party //  $6.11 //  $7.00 //  $15.52 // 
10303 //  Buzz The Mega Quiz //  $3.59 //  $6.98 //  $21.99 // 
14365 //  Buzz The Mega Quiz Bundle //  $4.38 //  $5.64 //  $22.21 // 
65225 //  Buzz! Junior Dinos //   //   //   // 
14265 //  Buzz! Junior: Robo Jam //  $2.84 //  $6.00 //  $19.87 // 
58071 //  Buzz! Junior: RoboJam [Bundle] //  $1.04 //  $1.35 //  $5.00 // 
14104 //  Buzz!: The Hollywood Quiz //  $4.06 //  $4.74 //  $11.22 // 
14106 //  Buzz!: The Hollywood Quiz Bundle //  $7.14 //  $7.37 //  $19.99 // 
8788 //  CSI 3 Dimensions of Murder //  $2.99 //  $5.44 //  $11.50 // 
11209 //  "Cabelas African Safari" //  $3.01 //  $4.34 //  $10.93 // 
11207 //  "Cabelas Alaskan Adventures" //  $2.89 //  $4.94 //  $9.88 // 
5015 //  "Cabelas Big Game Hunter" //  $2.79 //  $5.02 //  $12.12 // 
10424 //  "Cabelas Big Game Hunter 2005 Adventures" //  $3.98 //  $5.04 //  $11.14 // 
14665 //  "Cabelas Big Game Hunter 2008" //  $3.68 //  $4.68 //  $11.23 // 
49796 //  "Cabelas Big Game Hunter [Greatest Hits]" //  $3.73 //  $5.84 //  $12.68 // 
5044 //  "Cabelas Dangerous Hunts" //  $2.59 //  $4.61 //  $9.99 // 
5045 //  "Cabelas Dangerous Hunts 2" //  $3.07 //  $5.18 //  $12.41 // 
15060 //  "Cabelas Dangerous Hunts 2009" //  $2.59 //  $5.33 //  $10.68 // 
49797 //  "Cabelas Dangerous Hunts [Greatest Hits]" //  $3.66 //  $5.23 //  $12.44 // 
5046 //  "Cabelas Deer Hunt 2004" //  $3.32 //  $4.81 //  $12.79 // 
49798 //  "Cabelas Deer Hunt 2004 [Greatest Hits]" //   //   //   // 
5047 //  "Cabelas Deer Hunt 2005" //  $2.95 //  $5.16 //  $15.65 // 
14914 //  "Cabelas Legendary Adventures" //  $3.27 //  $4.00 //  $9.75 // 
10855 //  "Cabelas Monster Bass" //  $2.74 //  $5.70 //  $9.34 // 
22008 //  "Cabelas North American Adventures 2011" //  $3.99 //  $4.97 //  $11.96 // 
5048 //  "Cabelas Outdoor Adventures" //  $3.23 //  $4.06 //  $7.28 // 
34977 //  "Cabelas Outdoor Adventures 2010" //  $4.42 //  $6.19 //  $14.94 // 
8679 //  "Cabelas Trophy Bucks" //  $3.26 //  $4.99 //  $11.08 // 
15693 //  "Cake Mania Bakers Challenge" //  $3.28 //  $5.84 //  $11.26 // 
5049 //  Call of Duty 2 Big Red One //  $3.85 //  $5.26 //  $10.84 // 
14420 //  "Call of Duty 2 Big Red One Collectors Edition" //  $5.75 //  $6.71 //  $19.99 // 
37564 //  Call of Duty 2 Big Red One Special Edition //  $3.35 //  $3.76 //  $5.06 // 
5050 //  Call of Duty 3 //  $4.82 //  $5.95 //  $18.92 // 
53892 //  Call of Duty 3 [Special Edition] //  $4.09 //  $4.94 //  $21.38 // 
5051 //  Call of Duty Finest Hour //  $2.87 //  $4.79 //  $14.99 // 
49799 //  Call of Duty Finest Hour [Greatest Hits] //  $4.41 //  $4.59 //  $14.99 // 
32955 //  Call of Duty Legacy Bundle //  $8.00 //  $9.99 //  $16.37 // 
15936 //  Call of Duty World at War Final Fronts //  $4.39 //  $6.99 //  $11.40 // 
49801 //  Call of Duty World at War Final Fronts [Greatest Hits] //  $5.52 //  $6.07 //  $9.99 // 
5052 //  Capcom Classics Collection //  $7.59 //  $7.96 //  $13.26 // 
11043 //  Capcom Classics Collection Volume 2 //  $8.57 //  $10.36 //  $13.30 // 
11039 //  Capcom Fighting Evolution //  $7.38 //  $13.38 //  $25.49 // 
5053 //  Capcom vs SNK 2 //  $19.69 //  $27.99 //  $113.01 // 
10591 //  Carmen Sandiego The Secret of the Stolen Drums //  $4.44 //  $5.87 //  $10.15 // 
11697 //  "Carol Vordermans Sudoku" //  $1.51 //  $3.74 //  $4.08 // 
5054 //  Cars //  $3.76 //  $6.49 //  $16.43 // 
10304 //  Cars Mater-National Championship //  $4.74 //  $5.76 //  $16.93 // 
19753 //  Cars Race-O-Rama //  $5.62 //  $7.10 //  $10.69 // 
49802 //  Cars [Greatest Hits] //  $1.61 //  $7.99 //  $19.18 // 
11155 //  Cart Fury //  $4.72 //  $6.52 //  $18.85 // 
11790 //  Cartoon Network Racing //  $9.98 //  $12.97 //  $23.44 // 
5055 //  Casper Spirit Dimensions //  $2.48 //  $5.79 //  $14.18 // 
5056 //  Castle Shikigami 2 //  $8.90 //  $19.97 //  $29.99 // 
5057 //  Castlevania Curse of Darkness //  $17.95 //  $29.99 //  $73.95 // 
5058 //  Castlevania Lament of Innocence //  $7.70 //  $15.00 //  $46.00 // 
5060 //  Catwoman //  $4.51 //  $7.41 //  $12.69 // 
5062 //  Champions Return to Arms //  $24.92 //  $31.68 //  $72.26 // 
5061 //  Champions of Norrath //  $16.90 //  $24.97 //  $75.00 // 
49803 //  Champions of Norrath [Greatest Hits] //  $15.01 //  $19.99 //  $49.95 // 
5063 //  Chaos Legion //  $8.77 //  $12.18 //  $32.03 // 
14012 //  Chaos Wars //  $12.45 //  $15.49 //  $20.76 // 
5064 //  Charlie and the Chocolate Factory //  $4.55 //  $4.99 //  $11.98 // 
5065 //  Chessmaster //  $3.25 //  $5.07 //  $9.02 // 
5066 //  Chicken Little //  $4.38 //  $5.63 //  $10.49 // 
14307 //  Chicken Little Ace In Action //  $3.00 //  $4.73 //  $8.67 // 
8731 //  Choro Q //  $4.99 //  $10.44 //  $16.48 // 
5067 //  Chronicles of Narnia Lion Witch and the Wardrobe //  $3.00 //  $4.63 //  $9.00 // 
50003 //  Chronicles of Narnia Lion Witch and the Wardrobe [Greatest Hits] //  $4.94 //  $5.99 //  $16.80 // 
13808 //  Chronicles of Narnia Prince Caspian //  $3.13 //  $4.00 //  $8.39 // 
5068 //  Chulip //  $44.31 //  $60.25 //  $73.41 // 
16193 //  Cid the Dummy //  $5.65 //  $7.03 //  $13.73 // 
14333 //  City Crisis //  $3.24 //  $4.99 //  $11.02 // 
47085 //  Clear Green Dual Shock Controller //  $12.50 //  $16.25 //  $42.50 // 
5069 //  Clock Tower 3 //  $18.94 //  $29.80 //  $78.26 // 
16271 //  Cocoto Fishing Master //  $3.76 //  $4.27 //  $4.67 // 
13913 //  Code Lyoko Quest for Infinity //  $11.18 //  $18.60 //  $21.63 // 
10910 //  Codebreaker //  $38.78 //  $39.99 //  $95.52 // 
5070 //  Codename Kids Next Door Operation VIDEOGAME //  $5.84 //  $9.12 //  $18.07 // 
5071 //  Cold Fear //  $15.97 //  $29.45 //  $49.58 // 
7296 //  Cold Winter //  $6.83 //  $11.95 //  $28.54 // 
5072 //  Colin McRae Rally 3 //  $5.51 //  $13.21 //  $33.99 // 
5073 //  College Hoops 2K6 //  $3.42 //  $4.70 //  $10.93 // 
5074 //  College Hoops 2K7 //  $3.87 //  $4.96 //  $6.68 // 
10505 //  College Hoops 2K8 //  $7.56 //  $9.99 //  $25.77 // 
12575 //  Colosseum Road to Freedom //  $18.95 //  $23.99 //  $82.41 // 
10416 //  Combat Elite WWII Paratroopers //  $6.24 //  $6.45 //  $21.99 // 
5075 //  Commandos 2 Men of Courage //  $3.69 //  $6.26 //  $13.28 // 
15654 //  Commandos Strike Force //  $4.49 //  $6.16 //  $13.50 // 
5076 //  Conflict Desert Storm //  $2.86 //  $4.42 //  $13.01 // 
5077 //  Conflict Desert Storm 2 //  $4.85 //  $8.56 //  $26.73 // 
49804 //  Conflict Desert Storm [Greatest Hits] //  $3.70 //  $5.60 //  $12.00 // 
7297 //  Conflict Global Terror //  $6.38 //  $9.02 //  $22.00 // 
5078 //  Conflict Vietnam //  $5.73 //  $6.70 //  $19.27 // 
5079 //  Conflict Zone Modern War Strategy //  $3.97 //  $5.17 //  $13.80 // 
5080 //  Constantine //  $5.34 //  $7.75 //  $17.84 // 
5081 //  Contra Shattered Soldier //  $10.96 //  $14.47 //  $55.88 // 
5082 //  Cool Boarders 2001 //  $3.89 //  $4.53 //  $9.32 // 
16247 //  Coraline //  $9.91 //  $16.27 //  $21.08 // 
5083 //  Corvette //  $2.73 //  $3.99 //  $7.25 // 
11778 //  Corvette Evolution GT //  $2.54 //  $2.94 //  $6.07 // 
11121 //  Crash Bandicoot Action Pack //  $23.80 //  $27.18 //  $41.85 // 
5085 //  Crash Bandicoot The Wrath of Cortex //  $5.57 //  $10.00 //  $44.00 // 
49805 //  Crash Bandicoot The Wrath of Cortex [Greatest Hits] //  $8.31 //  $10.70 //  $30.49 // 
18517 //  Crash Mind Over Mutant //  $11.82 //  $13.98 //  $46.00 // 
5086 //  Crash N Burn //  $6.78 //  $9.78 //  $24.59 // 
5087 //  Crash Nitro Kart //  $5.49 //  $6.18 //  $23.49 // 
49807 //  Crash Nitro Kart [Greatest Hits] //  $4.99 //  $7.49 //  $15.93 // 
10417 //  Crash Tag Team Racing //  $6.85 //  $6.97 //  $23.59 // 
49808 //  Crash Tag Team Racing [Greatest Hits] //   //   //   // 
7302 //  Crash Twinsanity //  $6.77 //  $8.81 //  $25.25 // 
49806 //  Crash Twinsanity [Greatest Hits] //   //   //   // 
8770 //  Crash of the Titans //  $7.99 //  $11.13 //  $29.99 // 
14468 //  Crazy Frog Arcade Racer //  $4.45 //  $7.78 //  $11.57 // 
5088 //  Crazy Taxi //  $5.27 //  $7.68 //  $21.99 // 
