30617 //  007 Blood Stone //  $5.35 //  $6.81 //  $17.76 // 
20433 //  Ace Attorney Investigations: Miles Edgeworth //  $17.39 //  $37.07 //  $45.00 // 
3979 //  Action Replay DS //  $34.20 //  $34.99 //  $80.34 // 
70546 //  Action Replay DSi //  $59.58 //  $59.99 //  $113.98 // 
11902 //  Advance Wars Days of Ruin //  $16.27 //  $25.00 //  $53.96 // 
38398 //  Advance Wars Days of Ruin [Not for Resale] //  $139.99 //   //   // 
3980 //  Advance Wars Dual Strike //  $20.91 //  $39.97 //  $70.87 // 
39535 //  Advance Wars Dual Strike [Not for Resale] //   //   //   // 
33369 //  Adventure Time: Hey Ice King //  $6.00 //  $7.74 //  $14.69 // 
33920 //  "Adventure Time: Hey Ice King Collectors Edition" //  $12.28 //  $23.97 //  $59.95 // 
21143 //  Again //  $8.11 //  $14.99 //  $19.97 // 
19943 //  Agatha Christie: The ABC Murders //  $6.80 //  $9.57 //  $14.14 // 
16065 //  Age of Empires Mythologies //  $9.99 //  $12.74 //  $35.58 // 
3981 //  Age of Empires The Age of Kings //  $8.99 //  $10.90 //  $28.97 // 
14115 //  Air Traffic Chaos //  $6.94 //  $9.88 //  $13.51 // 
11666 //  Alex Rider Stormbreaker //  $3.90 //  $4.95 //  $9.40 // 
21006 //  Alice in Wonderland: The Movie //  $6.56 //  $6.99 //  $12.50 // 
21714 //  Aliens in the Attic //  $3.99 //  $7.25 //  $10.49 // 
31837 //  Aliens: Infestation //  $35.39 //  $51.79 //  $70.50 // 
15829 //  All-Star Cheer Squad //  $3.17 //  $4.23 //  $7.43 // 
22029 //  Alpha and Omega //  $4.90 //  $6.24 //  $12.01 // 
32252 //  Alvin & Chipmunks: Chipwrecked //  $4.00 //  $6.61 //  $8.43 // 
10842 //  Alvin And The Chipmunks The Game //  $5.02 //  $5.49 //  $13.95 // 
20064 //  Alvin and The Chipmunks: The Squeakquel //  $3.94 //  $4.08 //  $8.60 // 
15972 //  Amazing Adventures The Forgotten Ruins //  $3.71 //  $4.16 //  $12.07 // 
32878 //  Amazing Spiderman //  $7.17 //  $7.75 //  $15.36 // 
21521 //  "Americas Next Top Model" //  $4.88 //  $4.92 //  $11.15 // 
21138 //  "Americas Test Kitchen: Lets Get Cooking" //  $1.90 //  $3.69 //  $4.86 // 
39536 //  "Americas Test Kitchen: Lets Get Cooking [Not for Resale]" //   //   //   // 
10976 //  American Dragon Jake Long Attack of the Dark Dragon //  $3.72 //  $5.23 //  $9.45 // 
10843 //  American Girl Julie Finds a Way //  $3.43 //  $4.99 //  $12.43 // 
13993 //  American Girl Kit Mystery Challenge //  $4.59 //  $5.97 //  $14.41 // 
16121 //  Animal Boxing //  $4.95 //  $5.27 //  $14.37 // 
3982 //  Animal Crossing Wild World //  $24.99 //  $32.50 //  $38.00 // 
39537 //  Animal Crossing Wild World [Not for Resale] //   //   //   // 
8511 //  Animal Genius //  $3.48 //  $4.38 //  $8.67 // 
14985 //  Animal Paradise //  $4.70 //  $4.72 //  $13.11 // 
21722 //  Animal Paradise Wild //  $4.34 //  $4.61 //  $12.15 // 
21702 //  Animal Planet: Emergency Vets //  $4.14 //  $4.19 //  $11.62 // 
31346 //  Animal Planet: Vet Collection //  $5.95 //  $5.97 //  $13.86 // 
21731 //  Animal Planet: Vet Life //  $4.60 //  $6.96 //  $19.69 // 
3983 //  Animates //  $4.82 //  $5.98 //  $8.54 // 
19560 //  Ant Nation //  $9.00 //  $14.01 //  $20.27 // 
21739 //  Aqua Panic //  $5.86 //  $10.85 //  $14.86 // 
18635 //  Aquarium //  $4.92 //  $5.02 //  $13.64 // 
10281 //  Arctic Tale //  $3.00 //  $3.77 //  $8.00 // 
10475 //  Are You Smarter Than A 5th Grader? //  $2.76 //  $3.98 //  $6.12 // 
30660 //  Are You Smarter Than A 5th Grader? Back to School //  $2.51 //  $4.12 //  $4.99 // 
19849 //  Are You Smarter Than A 5th Grader? Game Time //  $3.10 //  $4.34 //  $6.38 // 
15770 //  Are You Smarter Than A 5th Grader? Make the Grade //  $2.76 //  $3.22 //  $7.95 // 
13917 //  Arkanoid //  $6.53 //  $8.12 //  $26.12 // 
15687 //  Army Men Soldiers of Misfortune //  $4.32 //  $4.86 //  $14.43 // 
30326 //  Art Academy //  $6.24 //  $7.83 //  $15.95 // 
3984 //  Arthur and the Invisibles //  $3.47 //  $3.73 //  $11.72 // 
3985 //  Asphalt Urban GT //  $5.28 //  $5.99 //  $8.50 // 
3986 //  Asphalt Urban GT 2 //  $6.54 //  $7.12 //  $16.38 // 
21548 //  "Assassins Creed II: Discovery" //  $9.24 //  $9.30 //  $19.99 // 
11905 //  "Assassins Creed Altairs Chronicles" //  $9.82 //  $13.16 //  $25.00 // 
19791 //  Astro Boy: The Video Game //  $5.49 //  $6.46 //  $15.06 // 
30893 //  Astro Invaders //  $5.54 //  $12.36 //  $21.46 // 
21743 //  Astrology DS //  $4.57 //  $10.30 //  $25.78 // 
30642 //  "Ataris Greatest Hits Volume 1" //  $9.25 //  $10.69 //  $22.42 // 
31036 //  "Ataris Greatest Hits Volume 2" //  $13.19 //  $15.62 //  $22.99 // 
19887 //  Atelier Annie: Alchemists of Sera Island //  $27.56 //  $63.48 //  $72.38 // 
53927 //  Atelier Annie: Alchemists of Sera Island [Premium Box] //   //   //   // 
16345 //  Australia Zoo Quest //  $6.21 //  $9.13 //  $10.86 // 
16408 //  Avalon Code //  $33.39 //  $70.00 //  $120.38 // 
10253 //  Avatar The Burning Earth //  $7.07 //  $10.48 //  $18.72 // 
3989 //  Avatar the Last Airbender //  $8.49 //  $8.99 //  $14.49 // 
15971 //  Avatar the Last Airbender Into the Inferno //  $10.46 //  $13.60 //  $14.63 // 
21056 //  Avatar: The Game //  $4.28 //  $5.49 //  $8.57 // 
18512 //  Away: Shuffle Dungeon //  $5.19 //  $10.35 //  $13.40 // 
11725 //  B-17 Fortress in the Sky //  $5.05 //  $6.22 //  $11.20 // 
35222 //  Baby Life //  $4.00 //  $5.95 //  $6.95 // 
10476 //  Baby Pals //  $3.31 //  $3.99 //  $9.00 // 
14660 //  Babysitting Mania //  $3.75 //  $5.95 //  $13.75 // 
15791 //  Back at the Barnyard Slop Bucket Games //  $5.48 //  $6.97 //  $11.98 // 
19787 //  "Backyard Baseball 10" //  $7.20 //  $7.61 //  $17.40 // 
16237 //  Backyard Baseball 09 //  $4.96 //  $6.04 //  $12.84 // 
18553 //  Backyard Basketball //  $10.30 //  $10.39 //  $44.95 // 
10254 //  Backyard Football //  $6.32 //  $6.93 //  $16.58 // 
15788 //  Backyard Football 09 //  $4.92 //  $6.18 //  $19.95 // 
8548 //  Backyard Hockey //  $11.91 //  $12.39 //  $46.54 // 
30312 //  Backyard Sports: Rookie Rush //  $3.79 //  $4.90 //  $14.00 // 
21317 //  Backyard Sports: Sandlot Sluggers //  $4.11 //  $5.53 //  $14.14 // 
19766 //  Bakugan Battle Brawlers //  $3.00 //  $5.96 //  $9.57 // 
21108 //  Bakugan Battle Trainer //  $3.74 //  $4.54 //  $11.24 // 
19814 //  "Bakugan Collectors Edition" //  $10.38 //  $19.99 //  $22.69 // 
30302 //  Bakugan: Defenders of the Core //  $4.08 //  $7.95 //  $8.29 // 
32085 //  Bakugan: Rise Of The Resistance //  $4.39 //  $6.10 //  $12.99 // 
21696 //  Balloon Pop //  $5.43 //  $5.50 //  $11.50 // 
8550 //  Balls of Fury //  $1.62 //  $3.98 //  $4.38 // 
19905 //  Band Hero //  $3.30 //  $7.90 //  $7.91 // 
39538 //  Band Hero [Not for Resale] //   //   //   // 
14448 //  Bangai O Spirits //  $15.10 //  $28.97 //  $34.99 // 
15086 //  Barbie Fashion Show Eye for Style //  $5.38 //  $5.43 //  $25.89 // 
18498 //  Barbie Horse Adventures: Riding Camp //  $6.09 //  $6.66 //  $24.59 // 
19932 //  Barbie and the Three Musketeers //  $6.04 //  $6.24 //  $16.30 // 
10255 //  Barbie as the Island Princess //  $5.75 //  $5.91 //  $15.00 // 
11216 //  Barbie in The 12 Dancing Princesses //  $9.17 //  $10.07 //  $19.26 // 
34593 //  Barbie: Dreamhouse Party //  $7.71 //  $8.46 //  $14.46 // 
30733 //  Barbie: Groom and Glam Pups //  $3.92 //  $5.65 //  $13.15 // 
31746 // Barbie: Jet, Set & Style //  $4.54 //  $6.30 //  $13.31 // 
14471 //  Barnyard Blast Swine of the Night //  $6.90 //  $11.58 //  $23.18 // 
21994 //  Batman: The Brave and the Bold //  $7.30 //  $10.46 //  $17.42 // 
16085 //  Battle of Giants: Dinosaurs //  $5.22 //  $7.15 //  $16.99 // 
19676 //  Battle of Giants: Dragons //  $4.58 //  $4.93 //  $15.00 // 
21011 //  Battle of Giants: Mutant Insects //  $4.78 //  $5.58 //  $9.82 // 
3990 //  Battles of Prince of Persia //  $4.36 //  $5.69 //  $12.97 // 
32735 //  Battleship //  $5.08 //  $6.22 //  $8.38 // 
39976 //  Battleship / Connect Four / Sorry / Trouble //  $5.83 //  $6.48 //  $14.62 // 
31037 //  Beastly Frantic Foto //  $2.56 //  $3.30 //  $5.58 // 
21195 //  Beat City //  $4.41 //  $5.88 //  $8.46 // 
10252 //  Bee Movie Game //  $4.20 //  $4.64 //  $13.01 // 
32256 //  Bejeweled 3 //  $5.80 //  $7.00 //  $12.71 // 
20363 //  Bejeweled Twist //  $3.93 //  $5.50 //  $9.60 // 
15872 //  Bella Sara //  $8.22 //  $10.00 //  $39.99 // 
15846 //  Ben 10 Alien Force //  $3.65 //  $5.12 //  $11.00 // 
10256 //  Ben 10 Protector of Earth //  $4.93 //  $4.95 //  $15.93 // 
19857 //  Ben 10: Alien Force: Vilgax Attacks //  $4.62 //  $4.86 //  $12.94 // 
31844 //  Ben 10: Galactic Racing //  $4.20 //  $6.17 //  $8.69 // 
33316 //  Ben 10: Omniverse //  $5.61 //  $7.92 //  $14.48 // 
32460 //  Ben 10: Triple Pack //  $10.75 //  $11.33 //  $22.98 // 
22109 //  Ben 10: Ultimate Alien Cosmic Destruction //  $4.97 //  $6.32 //  $15.08 // 
20016 //  Bermuda Triangle: Saving the Coral //  $4.99 //  $7.74 //  $10.02 // 
36600 //  Best Buy Nintendo Zone Beacon //  $35.09 //  $46.92 //  $98.45 // 
20413 //  Best Friends Tonight //  $3.00 //  $5.57 //  $7.36 // 
14666 //  Best of Tests //  $3.10 //  $4.31 //  $8.68 // 
8601 //  "Betty Boops Double Shift" //  $5.09 //  $7.42 //  $12.18 // 
30689 //  Beyblade: Metal Fusion //  $6.24 //  $8.95 //  $11.90 // 
30690 //  "Beyblade: Metal Fusion Collectors Edition" //  $4.95 //  $5.29 //  $16.44 // 
32259 //  Beyblade: Metal Masters //  $6.22 //  $7.45 //  $24.53 // 
32260 //  "Beyblade: Metal Masters Collectors Edition" //  $10.16 //  $14.48 //  $28.47 // 
16475 //  Big Bang Mini //  $4.63 //  $4.99 //  $20.79 // 
3991 //  Big Brain Academy //  $2.80 //  $4.08 //  $7.76 // 
39539 //  Big Brain Academy [Not for Resale] //  $10.99 //   //   // 
35610 //  Big Hero 6: Battle in the Bay //  $5.63 //  $7.69 //  $9.08 // 
19298 //  Big League Sports: Summer //  $2.40 //  $4.66 //  $10.67 // 
11716 //  Big Mutha Truckers //  $5.70 //  $6.56 //  $9.07 // 
36717 //  Big Time Rush Backstage Pass //  $2.19 //  $3.72 //  $4.06 // 
16108 //  Bigfoot Collision Course //  $4.59 //  $6.68 //  $15.96 // 
3992 //  Biker Mice From Mars //  $10.67 //  $15.02 //  $20.38 // 
3993 //  Bionicle Heroes //  $5.99 //  $9.50 //  $24.68 // 
3994 //  Black Nintendo DS Lite //  $33.75 //  $51.60 //  $94.49 // 
17478 //  Black Nintendo DSi System //  $40.50 //  $50.99 //  $128.31 // 
14657 //  Black Sigil Blade of the Exiled //  $39.60 //  $69.59 //  $133.02 // 
3995 //  Blades of Thunder 2 //  $5.62 //  $12.88 //  $14.89 // 
8620 //  Bleach Blade of Fate //  $6.00 //  $12.17 //  $23.95 // 
15699 //  Bleach Dark Souls //  $12.77 //  $17.98 //  $29.95 // 
18639 //  Bleach: The 3rd Phantom //  $26.97 //  $29.01 //  $52.95 // 
3996 //  Blue DS System //  $33.10 //  $45.36 //  $199.92 // 
16331 //  Blue Dragon Plus //  $9.47 //  $18.51 //  $25.19 // 
21318 //  Blue Dragon: Awakened Shadow //  $32.31 //  $102.50 //  $131.13 // 
17479 //  Blue Nintendo DSi System //  $33.26 //  $40.00 //  $92.46 // 
16409 //  Boing! Docomodake DS //  $9.09 //  $15.96 //  $30.66 // 
16002 //  Bolt //  $3.85 //  $4.94 //  $9.36 // 
32700 //  Bolt: Be-Awesome Edition //  $6.23 //  $10.00 //  $18.98 // 
3997 //  Bomberman //  $10.29 //  $11.00 //  $22.50 // 
11548 //  Bomberman Land Touch //  $13.46 //  $19.99 //  $56.66 // 
18606 //  Bomberman Land Touch 2 //  $19.35 //  $26.45 //  $47.85 // 
10844 //  Boogie //  $2.82 //  $3.93 //  $4.76 // 
20110 //  Bookworm Adventures //  $8.68 //  $8.93 //  $22.48 // 
3998 //  Brain Age //  $2.97 //  $3.95 //  $9.42 // 
3999 //  Brain Age 2 //  $3.58 //  $3.84 //  $8.31 // 
39540 //  Brain Age 2 [Not for Resale] //  $5.71 //   //   // 
11908 //  Brain Assist //  $3.57 //  $4.45 //  $7.98 // 
11352 //  Brain Boost Beta Wave //  $2.13 //  $2.67 //  $4.81 // 
11353 //  Brain Boost Gamma Wave //  $3.00 //  $3.64 //  $5.76 // 
31121 //  Brain Buster Puzzle Pak //  $3.15 //  $3.81 //  $7.99 // 
11003 //  Brain Challenge //  $2.65 //  $3.56 //  $6.70 // 
15075 //  Brain Quest Grades 3 & 4 //  $6.01 //  $7.30 //  $22.20 // 
15076 //  Brain Quest Grades 5 & 6 //  $5.69 //  $7.61 //  $13.22 // 
13206 //  Brain Voyage //  $3.87 //  $6.37 //  $9.75 // 
10257 //  Bratz 4 Real //  $5.55 //  $5.99 //  $14.40 // 
33233 //  Bratz Fashion Boutique //  $4.78 //  $4.93 //  $5.85 // 
4000 //  Bratz Forever Diamondz //  $4.23 //  $5.50 //  $11.27 // 
15728 //  Bratz Girlz Really Rock! //  $4.46 //  $4.51 //  $10.22 // 
15907 //  Bratz Kidz //  $6.02 //  $6.89 //  $13.42 // 
4001 //  Bratz Ponyz //  $4.50 //  $5.79 //  $14.80 // 
14908 //  Bratz Ponyz 2 //  $5.00 //  $7.50 //  $19.85 // 
12103 //  Bratz Super Babyz //  $4.52 //  $4.79 //  $14.13 // 
32846 //  Brave The Video Game //  $4.29 //  $5.15 //  $7.14 // 
4002 //  Break Em All //  $3.20 //  $6.00 //  $14.95 // 
16482 //  Broken Sword The Shadow of the Templars //  $8.86 //  $12.18 //  $24.99 // 
4003 //  Brothers in Arms War Stories //  $5.87 //  $8.57 //  $24.30 // 
11828 //  Bubble Bobble Double Shot //  $12.46 //  $20.47 //  $32.48 // 
11628 //  Bubble Bobble Revolution //  $8.52 //  $11.77 //  $33.24 // 
10477 //  Build-A-Bear Workshop //  $3.54 //  $3.82 //  $8.39 // 
21073 //  Build-A-Bear Workshop: Welcome to Hugsville //  $3.41 //  $3.76 //  $8.94 // 
16152 //  Build-A-Lot //  $6.39 //  $8.22 //  $14.21 // 
31140 //  Burger Bot //  $13.86 //  $17.08 //  $17.79 // 
18589 //  Burger Island //  $11.91 //  $14.57 //  $21.74 // 
4004 //  Burnout Legends //  $6.64 //  $9.47 //  $18.00 // 
4005 //  Bust-A-Move DS //  $5.47 //  $6.00 //  $8.02 // 
30646 //  Busy Scissors //  $4.50 //  $4.99 //  $18.90 // 
21586 //  C.O.P.: The Recruit //  $7.99 //  $10.45 //  $14.99 // 
16332 //  C.O.R.E. //  $29.95 //  $32.48 //  $39.80 // 
10481 //  CSI Dark Motives //  $3.99 //  $5.50 //  $11.34 // 
30769 //  CSI: Crime Scene Investigation Unsolved //  $6.51 //  $9.99 //  $18.22 // 
19861 //  CSI: Crime Scene Investigation: Deadly Intent Hidden Cases //  $6.99 //  $7.73 //  $19.70 // 
30279 //  "Cabelas Dangerous Hunts 2011" //  $14.37 //  $16.61 //  $36.85 // 
4006 //  Cake Mania //  $5.72 //  $7.48 //  $13.71 // 
13995 //  Cake Mania 2 //  $5.97 //  $7.33 //  $12.99 // 
19756 //  Cake Mania 3 //  $8.59 //  $9.12 //  $17.87 // 
31433 //  Cake Mania: Main Street //  $8.63 //  $11.50 //  $18.99 // 
10258 //  Call of Duty 4 Modern Warfare //  $6.77 //  $7.97 //  $18.99 // 
30676 //  Call of Duty Black Ops //  $9.56 //  $12.44 //  $18.15 // 
32092 //  Call of Duty Modern Warfare 3 //  $9.49 //  $11.87 //  $20.65 // 
19972 //  Call of Duty Modern Warfare Mobilized //  $6.36 //  $6.71 //  $12.44 // 
15935 //  Call of Duty World at War //  $6.50 //  $6.96 //  $16.01 // 
31373 //  "Calvin Tuckers Redneck Farm Animal Racing Tournament" //  $6.38 //  $6.46 //  $8.50 // 
21968 //  Camp Rock: The Final Jam  //  $2.80 //  $3.89 //  $5.14 // 
31722 //  Camping Mama: Outdoor Adventures //  $7.12 //  $8.76 //  $15.00 // 
16166 //  "Candace Kanes Candy Factory" //  $4.73 //  $5.42 //  $14.10 // 
31614 //  Captain America: Super Soldier //  $8.30 //  $10.58 //  $24.99 // 
14067 //  Carnival Games //  $4.50 //  $4.50 //  $8.34 // 
39541 //  Carnival Games [Not for Resale] //   //   //   // 
4007 //  Cars //  $5.15 //  $7.01 //  $14.00 // 
31513 //  Cars 2 //  $5.29 //  $5.92 //  $14.34 // 
32964 //  Cars 2 with Exclusive Characters //   //   //   // 
10259 //  Cars Mater-National Championship //  $5.32 //  $6.99 //  $18.29 // 
19728 //  Cars Race-O-Rama //  $5.64 //  $5.98 //  $20.00 // 
14412 //  Cartoon Network Racing //  $6.97 //  $8.74 //  $21.82 // 
30330 //  Casper Scare School: Classroom Capers //  $5.73 //  $7.50 //  $10.93 // 
30376 //  Casper Scare School: Spooky Sports Day //  $3.70 //  $6.99 //  $8.00 // 
4008 //  Castlevania Dawn of Sorrow //  $28.79 //  $41.00 //  $67.00 // 
39542 //  Castlevania Dawn of Sorrow [Not for Resale] //  $29.99 //   //   // 
15790 //  Castlevania Order of Ecclesia //  $42.50 //  $80.00 //  $119.99 // 
4009 //  Castlevania Portrait of Ruin //  $23.60 //  $40.00 //  $58.14 // 
21738 //  Casual Mania //  $5.32 //  $6.79 //  $13.62 // 
16153 //  Cate West: The Vanishing Files //  $4.63 //  $5.78 //  $10.71 // 
21613 //  Cats & Dogs: The Revenge of Kitty Galore //  $4.13 //  $4.14 //  $9.87 // 
4010 //  Catz //  $3.31 //  $4.24 //  $10.54 // 
15733 //  "Cesar Millans Dog Whisperer" //  $3.06 //  $6.43 //  $9.92 // 
21704 //  Challenge Me: Brain Puzzles //  $3.45 //  $4.20 //  $9.55 // 
30772 //  Challenge Me: Brain Puzzles 2 //  $5.74 //  $8.10 //  $16.97 // 
31353 //  Challenge Me: Math Workout //  $5.04 //  $5.33 //  $10.50 // 
31725 //  Challenge Me: Word Puzzles //  $5.06 //  $9.77 //  $19.69 // 
4011 //  Chameleon To Dye For //  $2.26 //  $6.64 //  $10.03 // 
14479 //  Championship Pony //  $3.55 //  $5.29 //  $8.20 // 
21754 //  Chaotic: Shadow Warriors //  $3.04 //  $4.26 //  $9.05 // 
11036 //  "Charlottes Web" //  $4.47 //  $4.99 //  $9.88 // 
19817 //  Charm Girls Club: My Fashion Mall //  $4.66 //  $4.75 //  $13.99 // 
19816 //  Charm Girls Club: My Fashion Show //  $3.25 //  $5.45 //  $13.74 // 
19815 //  Charm Girls Club: My Perfect Prom //  $4.99 //  $5.34 //  $7.07 // 
21109 //  Cheer We Go //  $5.99 //  $6.36 //  $8.99 // 
10260 //  Cheetah Girls Pop Star Sensations //  $3.33 //  $4.62 //  $9.50 // 
10261 //  Chessmaster //  $6.96 //  $10.45 //  $18.30 // 
31122 //  Chevrolet Camaro: Wild Ride //  $4.10 //  $9.07 //  $13.79 // 
8726 //  Chibi-Robo Park Patrol //  $13.43 //  $21.93 //  $34.57 // 
21720 //  Chicken Blaster //  $3.99 //  $4.79 //  $8.00 // 
14370 //  Chicken Hunter //  $5.37 //  $8.60 //  $11.47 // 
10979 //  Chicken Little Ace In Action //  $3.74 //  $6.14 //  $8.72 // 
11737 //  Chicken Shoot //  $3.49 //  $4.33 //  $7.94 // 
4012 //  Children of Mana //  $12.99 //  $19.60 //  $34.99 // 
39543 //  Children of Mana [Not for Resale] //  $29.99 //   //   // 
21737 //  Chocolatier //  $5.42 //  $5.80 //  $9.75 // 
19888 //  Chronicles of Mystery: Curse of the Ancient Temple //  $4.72 //  $8.50 //  $12.77 // 
31007 //  Chronicles of Mystery: The Tree of Life //  $7.39 //  $8.99 //  $12.74 // 
4013 //  Chronicles of Narnia Lion Witch and the Wardrobe //  $3.13 //  $7.10 //  $13.85 // 
13807 //  Chronicles of Narnia Prince Caspian //  $3.96 //  $4.46 //  $8.99 // 
16064 //  Chrono Trigger //  $42.11 //  $54.95 //  $63.25 // 
17638 //  Chrysler Classic Racing //  $5.79 //  $7.78 //  $12.58 // 
21599 //  "Chuck E Cheeses Party Games" //  $6.20 //  $10.62 //  $15.40 // 
31123 //  "Chuck E. Cheeses Gameroom" //  $6.10 //  $10.41 //  $17.02 // 
32394 //  "Chuck E. Cheeses Playhouse" //  $4.30 //  $8.93 //  $10.44 // 
14063 //  Civilization Revolution //  $9.50 //  $9.50 //  $16.17 // 
19329 //  Classic Word Games //  $7.50 //  $8.80 //  $17.47 // 
35326 //  Cloudy Chance Meatballs 2 //  $5.07 //  $5.43 //  $8.00 // 
19593 //  Cloudy with a Chance of Meatballs //  $4.84 //  $4.99 //  $9.13 // 
4014 //  Club House Games //  $5.56 //  $5.74 //  $9.79 // 
21360 //  "Club Penguin Elite Penguin Force: Herberts Revenge" //  $3.63 //  $4.83 //  $9.15 // 
16052 //  Club Penguin: Elite Penguin Force //  $3.20 //  $3.26 //  $9.70 // 
58339 //  "Club Penguin: Elite Penguin Force [Collectors Edition]" //  $5.00 //  $22.63 //  $24.08 // 
10478 //  Clue/Mouse Trap/Perfection/Aggravation //  $5.52 //  $5.90 //  $21.11 // 
15739 //  Cobalt & Black Nintendo DS Lite //  $46.37 //  $57.08 //  $179.99 // 
8744 //  Cocoto Kart Racer //  $5.83 //  $7.95 //  $17.70 // 
11793 //  Code Lyoko //  $9.99 //  $14.00 //  $28.63 // 
13918 //  Code Lyoko Fall of XANA //  $12.02 //  $15.00 //  $29.84 // 
21364 //  Color Cross //  $4.96 //  $5.06 //  $10.09 // 
17613 //  Command & Destroy //  $8.05 //  $17.16 //  $22.22 // 
18614 //  Commando: Steel Disaster //  $26.50 //  $102.25 //  $133.72 // 
4015 //  Contact //  $17.23 //  $27.60 //  $48.76 // 
10479 //  Contra 4 //  $18.95 //  $41.00 //  $54.95 // 
68901 //  Cookie Shop: Create Your Dream Shop //  $85.71 //  $119.99 //  $227.98 // 
11313 //  Cookie and Cream //  $4.92 //  $12.47 //  $12.99 // 
4016 //  Cooking Mama //  $10.04 //  $11.89 //  $24.01 // 
10480 //  Cooking Mama 2 Dinner With Friends //  $9.31 //  $9.78 //  $18.89 // 
19818 //  Cooking Mama 3: Shop & Chop //  $9.41 //  $12.58 //  $21.55 // 
4017 //  Coral Pink Nintendo DS Lite //  $40.96 //  $42.74 //  $49.20 // 
16252 //  Coraline //  $21.99 //  $28.99 //  $29.99 // 
10914 //  Corvette Evolution GT //  $4.79 //  $4.83 //  $12.99 // 
13213 //  Cory in the House //  $5.37 //  $5.95 //  $8.88 // 
30374 //  Cosmos Chaos //  $3.90 //  $5.46 //  $6.87 // 
33280 //  Cradle of Egypt 2 //  $5.31 //  $6.03 //  $10.16 // 
32944 //  Cradle of Persia //  $9.02 //  $9.03 //  $16.00 // 
16039 //  Cradle of Rome //  $4.05 //  $6.34 //  $12.39 // 
32881 //  Cradle of Rome 2 //  $7.57 //  $9.95 //  $11.56 // 
30323 //  Crafting Mama //  $7.45 //  $8.15 //  $14.17 // 
4018 //  Crash Boom Bang //  $9.43 //  $10.50 //  $14.99 // 
15675 //  Crash Mind Over Mutant //  $11.82 //  $14.72 //  $19.99 // 
8769 //  Crash of the Titans //  $12.00 //  $13.58 //  $29.99 // 
8775 //  Crayola Treasure Adventures //  $4.30 //  $5.00 //  $12.20 // 
21710 //  Crazy Chicken Star Karts //  $3.89 //  $5.12 //  $9.84 // 
21711 //  Crazy Chicken: Atlantis Quest //  $4.50 //  $5.99 //  $11.70 // 
21712 //  "Crazy Chicken: The Pharaohs Treasure" //  $6.35 //  $7.00 //  $12.99 // 
32416 //  Crazy Machines //  $4.49 //  $6.86 //  $8.00 // 
21947 //  Crazy Pig //  $9.21 //  $12.89 //  $25.61 // 
34848 //  Crime Lab: Body of Evidence //  $7.50 //  $7.84 //  $10.26 // 
20434 //  Crime Scene //  $6.16 //  $6.88 //  $10.22 // 
14369 //  Crosswords DS //  $3.83 //  $4.29 //  $7.60 // 
31664 //  Curling: Sweep the Competition //  $4.66 //  $5.96 //  $10.19 // 
4019 //  Custom Robo Arena //  $13.20 //  $22.75 //  $39.99 // 
7310 //  DK Jungle Climber //  $13.52 //  $17.75 //  $28.69 // 
39545 //  DK Jungle Climber [Not for Resale] //   //   //   // 
8875 //  DS Rumble Pak //  $5.46 //  $9.00 //  $15.98 // 
32634 //  DaGeDar //  $2.50 //  $3.50 //  $4.67 // 
15783 //  Dancing With The Stars We Dance //  $2.51 //  $3.19 //  $6.07 // 
