30615 //  007 Blood Stone //  $8.99 //  $10.72 //  $19.97 // 
34470 //  Angry Birds Star Wars //  $5.18 //  $5.74 //  $9.49 // 
33111 //  Angry Birds Trilogy //  $7.12 //  $8.69 //  $14.68 // 
30716 //  Apache: Air Assault //  $12.38 //  $12.42 //  $30.05 // 
34587 //  AquaPazza //  $11.62 //  $14.99 //  $27.45 // 
35086 //  Ar Nosurge: Ode to an Unborn Star //  $17.46 //  $23.97 //  $34.94 // 
37913 //  Ar Nosurge: Ode to an Unborn Star Limited Edition //  $48.89 //  $56.03 //  $83.65 // 
31067 //  Ar Tonelico Qoga: Knell of Ar Ciel //  $13.99 //  $19.99 //  $32.79 // 
40509 //  Ar Tonelico Qoga: Knell of Ar Ciel [Premium Edition] //  $27.61 //  $31.25 //  $61.94 // 
35088 //  Arcana Heart 3: Love Max //  $11.50 //  $14.24 //  $18.99 // 
34133 //  Arcania: The Complete Collection //  $10.48 //  $16.96 //  $22.01 // 
36127 //  Arland Atelier Trilogy //  $33.20 //  $47.88 //  $59.99 // 
10804 //  Armored Core 4 //  $9.98 //  $10.99 //  $30.00 // 
14974 //  Armored Core For Answer //  $12.20 //  $16.86 //  $47.06 // 
32651 //  Armored Core V //  $10.86 //  $15.50 //  $26.95 // 
34286 //  Armored Core: Verdict Day //  $12.99 //  $14.53 //  $24.99 // 
42287 //  "Armored Core: Verdict Day Collectors Edition" //  $95.23 //  $114.28 //  $149.99 // 
11920 //  Army of Two //  $4.62 //  $5.50 //  $19.79 // 
52023 //  Army of Two [Greatest Hits] //  $5.07 //  $6.99 //  $9.54 // 
20349 //  Army of Two: The 40th Day //  $5.95 //  $6.64 //  $14.15 // 
52024 //  Army of Two: The 40th Day [Greatest Hits] //  $6.66 //  $8.25 //  $13.99 // 
33940 //  Army of Two: The Devils Cartel //  $6.56 //  $9.04 //  $15.40 // 
10566 //  "Assassins Creed" //  $4.13 //  $5.97 //  $13.74 // 
19992 //  "Assassins Creed II" //  $3.99 //  $4.75 //  $8.65 // 
20788 //  "Assassins Creed II The Master Assassins Edition" //  $35.97 //  $67.31 //  $107.85 // 
52026 //  "Assassins Creed II [Greatest Hits]" //  $3.50 //  $3.95 //  $9.50 // 
33231 //  "Assassins Creed III" //  $3.47 //  $3.99 //  $7.72 // 
52027 //  "Assassins Creed III [Greatest Hits]" //  $3.73 //  $4.76 //  $6.21 // 
36382 //  "Assassins Creed III [Limited Edition]" //  $28.40 //  $37.89 //  $71.00 // 
62537 //  "Assassins Creed III [Steelbook Edition]" //   //   //   // 
34472 //  "Assassins Creed IV: Black Flag" //  $5.12 //  $6.35 //  $9.00 // 
34478 //  "Assassins Creed IV: Black Flag [Limited Edition]" //  $19.55 //  $46.21 //  $66.55 // 
32979 //  "Assassins Creed Revelations: Signature Edition" //  $4.54 //  $4.99 //  $15.00 // 
52025 //  "Assassins Creed [Greatest Hits]" //  $5.30 //  $5.75 //  $11.03 // 
10567 //  "Assassins Creed [Limited Edition]" //  $29.77 //  $34.99 //  $70.01 // 
30708 //  "Assassins Creed: Brotherhood" //  $4.08 //  $4.40 //  $11.75 // 
30709 //  "Assassins Creed: Brotherhood [Collectors Edition]" //  $29.02 //  $31.16 //  $56.50 // 
52028 //  "Assassins Creed: Brotherhood [Greatest Hits]" //  $3.71 //  $5.06 //  $7.24 // 
33309 //  "Assassins Creed: Ezio Trilogy" //  $7.39 //  $7.99 //  $14.06 // 
35291 //  "Assassins Creed: Rogue" //  $4.50 //  $6.56 //  $9.05 // 
58384 //  "Assassins Creed: Rogue [Limited Edition]" //  $4.92 //  $5.90 //  $8.98 // 
35230 //  "Assassins Creed: The Americas Collection" //  $11.49 //  $13.79 //  $14.95 // 
32255 //  Assassins Creed Revelations //  $3.38 //  $3.40 //  $7.99 // 
52029 //  Assassins Creed Revelations [Greatest Hits] //   //   //   // 
32515 //  "Asuras Wrath" //  $15.58 //  $19.13 //  $26.90 // 
33889 //  Atelier Ayesha: The Alchemist Of Dusk //  $16.67 //  $22.25 //  $26.84 // 
34743 //  Atelier Escha & Logy: Alchemists of the Dusk Sky //  $16.99 //  $20.04 //  $35.52 // 
32750 //  Atelier Meruru: The Apprentice Of Arland //  $11.86 //  $14.24 //  $33.97 // 
32903 //  Atelier Meruru: The Apprentice of Arland Limited Edition //  $44.36 //  $59.00 //  $87.62 // 
34950 //  Atelier Rorona Plus: The Alchemist of Arland //  $19.99 //  $25.60 //  $30.89 // 
22087 //  Atelier Rorona: The Alchemist of Arland //  $9.99 //  $10.24 //  $14.60 // 
22085 //  Atelier Rorona: The Alchemist of Arland [Premium Edition] //  $14.40 //  $16.45 //  $31.48 // 
35605 //  Atelier Shallie: Alchemists of the Dusk Sea //  $22.80 //  $28.12 //  $50.00 // 
36706 //  Atelier Shallie: Alchemists of the Dusk Sea Limited Edition //  $45.00 //  $45.00 //  $67.50 // 
31774 //  Atelier Totori: The Adventurer of Arland //  $14.14 //  $16.47 //  $30.92 // 
31775 //  Atelier Totori: The Adventurer of Arland Premium Pak //  $28.49 //  $37.39 //  $62.91 // 
20044 //  Avatar: The Game //  $6.58 //  $8.36 //  $19.29 // 
35612 //  Awakened Fate: Ultimatum //  $14.75 //  $17.65 //  $19.49 // 
37904 //  Awakened Fate: Ultimatum [Limited Edition] //  $27.83 //  $38.39 //  $58.44 // 
32386 //  Back to the Future //  $9.62 //  $12.70 //  $19.72 // 
21511 //  Backbreaker //  $7.19 //  $13.21 //  $20.28 // 
14667 //  Baja Edge of Control //  $8.36 //  $8.84 //  $22.11 // 
19767 //  Bakugan Battle Brawlers //  $4.98 //  $6.26 //  $12.35 // 
30301 //  Bakugan: Defenders of the Core //  $5.28 //  $6.99 //  $10.39 // 
19907 //  Band Hero //  $2.50 //  $3.85 //  $5.73 // 
19911 //  Band Hero Superbundle //  $124.99 //  $149.99 //  $204.97 // 
34588 //  BandFuse: Rock Legends //  $9.62 //  $12.97 //  $25.14 // 
36212 //  Barbie and Her Sisters: Puppy Rescue //  $19.87 //  $20.11 //  $28.56 // 
19504 //  Batman: Arkham Asylum //  $4.60 //  $4.60 //  $9.88 // 
19506 //  "Batman: Arkham Asylum Collectors Edition" //  $30.36 //  $35.74 //  $63.50 // 
63974 //  Batman: Arkham Asylum [Game of the Year Edition] (Greatest Hits) //   //   //   // 
31551 //  Batman: Arkham Asylum [Game of the Year] //  $2.91 //  $5.39 //  $10.97 // 
35841 //  Batman: Arkham Asylum and Batman: Arkham City Dual Pack //  $8.17 //  $9.09 //  $17.16 // 
31859 //  Batman: Arkham City //  $3.90 //  $5.00 //  $5.21 // 
31866 //  "Batman: Arkham City [Collectors Edition]" //  $25.00 //  $29.40 //  $49.39 // 
67491 //  Batman: Arkham City [Game of the Year Greatest Hits] //   //   //  $1.99 // 
32791 //  Batman: Arkham City [Game of the Year] //  $2.98 //  $4.03 //  $4.10 // 
34458 //  Batman: Arkham Origins //  $5.28 //  $6.17 //  $6.55 // 
34464 //  "Batman: Arkham Origins Collectors Edition" //  $37.39 //  $50.00 //  $85.90 // 
36914 //  Batman: The Telltale Series //  $7.46 //  $7.95 //  $9.55 // 
31889 //  Battlefield 3 //  $3.49 //  $4.41 //  $6.60 // 
32724 //  Battlefield 3 Limited Edition //  $3.00 //  $4.31 //  $6.30 // 
67492 //  Battlefield 3 [Greatest Hits] //   //   //   // 
33040 //  Battlefield 3 [Premium Edition] //  $3.60 //  $5.00 //  $9.99 // 
34480 //  Battlefield 4 //  $4.51 //  $5.00 //  $6.00 // 
14048 //  Battlefield Bad Company Gold Edition //  $7.43 //  $7.78 //  $47.79 // 
52030 //  Battlefield Bad Company [Greatest Hits] //  $5.39 //  $6.22 //  $11.95 // 
35617 //  Battlefield Hardline //  $4.97 //  $6.00 //  $10.14 // 
35619 //  Battlefield Hardline: Deluxe Edition //  $6.60 //  $12.09 //  $22.53 // 
13976 //  Battlefield: Bad Company //  $4.00 //  $5.78 //  $15.04 // 
20995 //  Battlefield: Bad Company 2 //  $4.17 //  $5.17 //  $11.80 // 
52031 //  Battlefield: Bad Company 2 [Greatest Hits] //  $4.00 //  $4.14 //  $8.40 // 
61885 //  Battlefield: Bad Company 2 [Limited Edition] //  $4.76 //  $5.98 //  $10.00 // 
21965 //  Battlefield: Bad Company 2 [Ultimate Edition] //  $4.11 //  $4.13 //  $10.84 // 
32740 //  Battleship //  $6.30 //  $9.60 //  $11.53 // 
20337 //  Bayonetta //  $7.86 //  $8.45 //  $19.87 // 
14064 //  Beijing Olympics 2008 //  $5.43 //  $5.43 //  $17.48 // 
32258 //  Bejeweled 3 //  $4.49 //  $5.06 //  $9.99 // 
31842 //  Ben 10: Galactic Racing //  $7.19 //  $10.32 //  $14.84 // 
33314 //  Ben 10: Omniverse //  $13.51 //  $18.00 //  $21.74 // 
34504 //  Ben 10: Omniverse 2 //  $10.88 //  $11.99 //  $16.95 // 
22108 //  Ben 10: Ultimate Alien Cosmic Destruction //  $9.54 //  $10.39 //  $18.99 // 
10568 //  Beowulf The Game //  $4.13 //  $4.54 //  $8.20 // 
34404 //  Best of PlayStation Network Vol. 1 //  $8.50 //  $10.33 //  $12.93 // 
34307 //  Beyond: Two Souls //  $4.26 //  $4.97 //  $8.00 // 
42352 //  Beyond: Two Souls [Steelbook Edition] //  $8.53 //  $8.99 //  $27.79 // 
32534 //  Binary Domain //  $6.31 //  $9.26 //  $14.00 // 
15763 //  BioShock //  $5.45 //  $6.54 //  $14.43 // 
20402 //  BioShock 2 //  $4.00 //  $5.27 //  $7.99 // 
52033 //  BioShock 2 [Greatest Hits] //  $4.68 //  $4.73 //  $9.94 // 
20404 //  BioShock 2 [Special Edition] //  $38.34 //  $40.14 //  $50.00 // 
33941 //  BioShock Infinite //  $3.64 //  $5.96 //  $8.28 // 
67493 //  BioShock Infinite [Greatest Hits] //   //   //   // 
35264 //  BioShock Infinite: The Complete Edition //  $9.28 //  $9.99 //  $17.99 // 
52032 //  BioShock [Greatest Hits] //  $5.82 //  $6.73 //  $12.00 // 
19200 //  Bionic Commando //  $5.48 //  $6.97 //  $10.41 // 
33944 //  Bioshock Infinite [Premium Edition] //  $13.65 //  $17.50 //  $20.75 // 
34049 //  Bioshock Infinite: Ultimate Songbird Edition //  $86.50 //  $100.06 //  $129.49 // 
33788 //  Bioshock Ultimate Rapture Edition //  $7.76 //  $11.13 //  $20.41 // 
32610 //  Birds Of Steel //  $12.65 //  $14.32 //  $24.56 // 
10929 //  Blacksite Area 51 //  $4.74 //  $5.95 //  $21.50 // 
32581 //  Blades Of Time //  $11.61 //  $16.30 //  $24.76 // 
10569 //  Bladestorm The Hundred Years War //  $5.46 //  $6.89 //  $21.14 // 
19340 //  BlazBlue: Calamity Trigger //  $5.19 //  $8.25 //  $17.65 // 
21162 //  BlazBlue: Calamity Trigger [Limited Edition] //  $9.30 //  $12.49 //  $26.22 // 
37082 //  BlazBlue: Central Fiction //  $41.34 //  $61.13 //  $62.53 // 
37084 //  BlazBlue: Central Fiction Limited Edition //  $91.68 //  $110.00 //  $149.99 // 
34764 //  BlazBlue: Chrono Phantasma //  $7.91 //  $8.24 //  $19.99 // 
35811 //  BlazBlue: Chrono Phantasma Extend //  $11.02 //  $11.49 //  $19.07 // 
34766 //  BlazBlue: Chrono Phantasma Limited Edition //  $25.97 //  $31.69 //  $37.77 // 
21766 //  BlazBlue: Continuum Shift //  $4.79 //  $5.30 //  $8.82 // 
32479 //  Blazblue: Continuum Shift Extend //  $5.39 //  $6.58 //  $8.83 // 
32480 //  Blazblue: Continuum Shift Extend Limited Edition //  $7.25 //  $9.71 //  $11.00 // 
7276 //  Blazing Angels 2 Secret Missions //  $5.05 //  $7.33 //  $15.55 // 
10805 //  Blazing Angels Squadrons of WWII //  $4.17 //  $6.44 //  $13.68 // 
31636 //  Bleach: Soul Resurreccion //  $13.75 //  $14.99 //  $51.99 // 
15706 //  Blitz The League II //  $13.12 //  $20.54 //  $37.00 // 
30623 //  Blood Drive //  $5.92 //  $8.84 //  $12.91 // 
21352 //  Blur //  $14.63 //  $17.63 //  $38.73 // 
31677 //  Bodycount //  $8.35 //  $10.04 //  $13.23 // 
16004 //  Bolt //  $8.31 //  $10.45 //  $19.47 // 
19770 //  Borderlands //  $4.38 //  $5.94 //  $10.00 // 
33058 //  Borderlands 2 //  $4.11 //  $5.73 //  $8.48 // 
34678 //  Borderlands 2 & Dishonored Bundle //  $7.17 //  $9.44 //  $10.75 // 
33062 //  Borderlands 2 [Deluxe Vault Hunters Limited Edition] //  $25.53 //  $27.48 //  $57.49 // 
34308 //  Borderlands 2 [Game of the Year] //  $8.40 //  $9.83 //  $17.99 // 
52035 //  Borderlands 2 [Greatest Hits] //  $3.43 //  $5.57 //  $5.92 // 
36386 //  Borderlands 2 [Ultimate Loot Chest Limited Edition] //  $38.74 //  $124.64 //  $169.44 // 
33857 //  Borderlands 2: Add-on Content Pack //  $4.59 //  $5.18 //  $8.45 // 
35154 //  Borderlands The Pre-Sequel //  $3.17 //  $4.50 //  $4.98 // 
36284 //  Borderlands Triple Pack //  $16.45 //  $18.99 //  $22.92 // 
22172 //  Borderlands [Game of the Year] //  $5.61 //  $5.84 //  $15.20 // 
52034 //  Borderlands [Greatest Hits] //  $4.14 //  $4.97 //  $6.15 // 
34864 //  Bound by Flame //  $4.96 //  $5.65 //  $8.95 // 
32847 //  Brave The Video Game //  $7.73 //  $9.99 //  $17.99 // 
31405 //  Brink //  $2.95 //  $3.45 //  $6.31 // 
14945 //  "Brothers in Arms Hells Highway" //  $5.78 //  $5.87 //  $10.99 // 
17621 //  "Brothers in Arms: Hells Highway Limited Edition" //  $8.00 //  $19.94 //  $24.47 // 
22035 //  Brunswick Pro Bowling //  $5.40 //  $10.34 //  $12.09 // 
19733 //  Brutal Legend //  $4.99 //  $6.25 //  $14.99 // 
31047 //  Bulletstorm //  $4.89 //  $5.51 //  $8.27 // 
36740 //  Bulletstorm Limited Edition //  $3.59 //  $5.56 //  $9.49 // 
11919 //  Burnout Paradise //  $6.75 //  $8.38 //  $13.95 // 
52036 //  Burnout Paradise [Greatest Hits] //  $4.00 //  $8.30 //  $10.00 // 
15061 //  Buzz! Quiz TV //  $4.97 //  $26.98 //  $38.82 // 
21763 //  Buzz! Quiz World //  $6.06 //  $19.65 //  $22.34 // 
34844 //  Buzz! Quiz World 4 Controller Bundle //  $65.56 //  $78.67 //  $118.01 // 
30362 //  CSI: Fatal Conspiracy //  $6.27 //  $7.52 //  $13.01 // 
32140 //  "Cabelas Adventure Camp" //  $8.07 //  $10.78 //  $19.24 // 
34415 //  "Cabelas African Adventures" //  $6.72 //  $8.89 //  $19.94 // 
20393 //  "Cabelas Big Game Hunter 2010" //  $4.36 //  $6.64 //  $17.59 // 
31777 //  "Cabelas Big Game Hunter 2012" //  $5.92 //  $7.99 //  $12.96 // 
31776 //  "Cabelas Big Game Hunter 2012 with Gun" //  $13.69 //  $24.29 //  $24.86 // 
34759 //  "Cabelas Big Game Hunter: Pro Hunts" //  $19.35 //  $24.99 //  $41.00 // 
15058 //  "Cabelas Dangerous Hunts 2009" //  $5.24 //  $5.99 //  $12.31 // 
30280 //  "Cabelas Dangerous Hunts 2011" //  $5.49 //  $6.20 //  $12.81 // 
30282 //  "Cabelas Dangerous Hunts 2011 Bundle" //  $17.90 //  $23.01 //  $26.50 // 
33202 //  "Cabelas Dangerous Hunts 2013" //  $4.99 //  $6.89 //  $15.15 // 
33206 //  "Cabelas Dangerous Hunts 2013 Bundle" //  $12.00 //  $19.52 //  $21.47 // 
33209 //  "Cabelas Hunting Expedition" //  $9.99 //  $10.09 //  $17.49 // 
22007 //  "Cabelas North American Adventures 2011" //  $7.87 //  $7.94 //  $19.39 // 
19540 //  "Cabelas Outdoor Adventures 2010" //  $6.99 //  $7.49 //  $20.16 // 
32144 //  "Cabelas Survival: Shadows Of Katmai" //  $4.17 //  $6.50 //  $8.75 // 
32147 //  "Cabelas Survival: Shadows Of Katmai w/ Gun" //  $13.95 //  $16.74 //  $25.10 // 
10806 //  Call of Duty 3 //  $6.50 //  $7.10 //  $13.69 // 
52037 //  Call of Duty 3 [Greatest Hits] //  $6.78 //  $7.95 //  $15.00 // 
10374 //  Call of Duty 4 Modern Warfare //  $5.65 //  $6.00 //  $16.70 // 
14230 //  Call of Duty 4 Modern Warfare [Game of the Year] //  $3.48 //  $4.23 //  $5.99 // 
52038 //  Call of Duty 4 Modern Warfare [Greatest Hits] //  $5.11 //  $6.11 //  $9.84 // 
35257 //  Call of Duty Advanced Warfare //  $4.99 //  $5.16 //  $10.85 // 
35248 //  Call of Duty Advanced Warfare [Atlas Limited Edition] //  $14.80 //  $17.83 //  $26.80 // 
35252 //  Call of Duty Advanced Warfare [Atlas Pro Edition] //  $6.34 //  $22.91 //  $30.06 // 
35548 //  Call of Duty Advanced Warfare [Day Zero] //  $6.24 //  $8.27 //  $12.98 // 
40305 //  Call of Duty Advanced Warfare [Gold Edition] //  $6.68 //  $6.73 //  $14.02 // 
30669 //  Call of Duty Black Ops //  $4.29 //  $6.32 //  $11.95 // 
37331 //  Call of Duty Black Ops Collection //  $17.52 //  $17.94 //  $21.03 // 
30672 //  Call of Duty Black Ops Hardened Edition //  $10.32 //  $14.81 //  $50.69 // 
35699 //  Call of Duty Black Ops I and II Combo Pack //  $10.20 //  $11.05 //  $21.34 // 
33320 //  Call of Duty Black Ops II //  $7.83 //  $8.21 //  $13.08 // 
40393 //  Call of Duty Black Ops II [Care Package] //  $78.59 //  $125.85 //  $165.04 // 
34857 //  Call of Duty Black Ops II [Game of the Year] //  $7.68 //  $9.40 //  $29.19 // 
34015 //  Call of Duty Black Ops II [Hardened Edition] //  $14.10 //  $16.57 //  $58.61 // 
36237 //  Call of Duty Black Ops III //  $7.84 //  $8.80 //  $14.42 // 
37041 //  Call of Duty Black Ops Limited Edition //  $4.48 //  $5.38 //  $10.45 // 
30671 //  Call of Duty Black Ops Prestige Edition //  $32.62 //  $53.00 //  $119.47 // 
34508 //  Call of Duty Ghosts //  $3.36 //  $4.30 //  $5.39 // 
34514 //  Call of Duty Ghosts Hardened Edition //  $7.81 //  $8.97 //  $12.03 // 
34512 //  Call of Duty Ghosts Prestige Edition //  $17.35 //  $20.80 //  $23.29 // 
19954 //  Call of Duty Modern Warfare 2 //  $3.99 //  $4.37 //  $9.40 // 
19958 //  Call of Duty Modern Warfare 2 Harden Edition //  $10.37 //  $10.65 //  $29.99 // 
19955 //  Call of Duty Modern Warfare 2 Prestige Edition //  $77.44 //  $92.94 //  $139.41 // 
52039 //  Call of Duty Modern Warfare 2 [Greatest Hits] //  $2.00 //  $5.61 //  $8.31 // 
32088 //  Call of Duty Modern Warfare 3 //  $3.96 //  $4.97 //  $7.00 // 
36575 //  Call of Duty Modern Warfare 3 Hardened Edition //  $5.00 //  $19.99 //  $37.82 // 
42354 //  Call of Duty Modern Warfare Collection //  $7.00 //  $7.99 //  $14.70 // 
37410 //  Call of Duty Modern Warfare Trilogy //  $14.35 //  $16.60 //  $24.53 // 
15932 //  Call of Duty World at War //  $5.43 //  $7.26 //  $18.01 // 
52040 //  Call of Duty World at War [Greatest Hits] //  $6.00 //  $6.22 //  $11.01 // 
67494 //  Call of Duty: Black Ops [Greatest Hits] //   //   //   // 
19342 //  Call of Juarez: Bound in Blood //  $4.51 //  $6.37 //  $13.73 // 
31611 //  Call of Juarez: The Cartel //  $6.21 //  $7.51 //  $11.26 // 
34312 //  Capcom Essentials //  $12.50 //  $13.75 //  $35.00 // 
31615 //  Captain America: Super Soldier //  $14.61 //  $19.99 //  $58.53 // 
31858 //  Carnival Island //  $8.13 //  $8.99 //  $11.82 // 
31515 //  Cars 2 //  $8.77 //  $10.58 //  $23.24 // 
37754 //  Cars 3 Driven to Win //  $14.69 //  $23.01 //  $23.02 // 
10375 //  Cars Mater-National Championship //  $9.42 //  $14.59 //  $41.74 // 
19729 //  Cars Race-O-Rama //  $10.93 //  $13.49 //  $24.45 // 
32263 //  Cartoon Network: Punch Time Explosion //  $13.00 //  $19.64 //  $32.70 // 
34515 //  Castlevania Lords of Shadow Collection //  $18.52 //  $25.05 //  $56.98 // 
22113 //  Castlevania: Lords of Shadow //  $8.30 //  $11.24 //  $20.42 // 
34699 //  Castlevania: Lords of Shadow 2 //  $9.73 //  $15.20 //  $19.02 // 
22115 //  Castlevania: Lords of Shadow Limited Edition //  $15.53 //  $19.27 //  $48.07 // 
31622 //  Catherine //  $9.46 //  $10.60 //  $16.06 // 
31626 //  Catherine: Love Is Over Deluxe Edition //  $86.03 //  $92.36 //  $124.60 // 
31881 //  Champion Jockey: G1 Jockey & Gallop Racer //  $14.13 //  $16.99 //  $38.99 // 
21764 //  Chaotic: Shadow Warriors //  $5.35 //  $6.23 //  $7.99 // 
31765 //  Child of Eden //  $5.39 //  $5.45 //  $8.46 // 
13809 //  Chronicles of Narnia Prince Caspian //  $3.36 //  $4.88 //  $8.74 // 
14062 //  Civilization Revolution //  $6.88 //  $7.41 //  $21.99 // 
21768 //  Clash of the Titans //  $6.20 //  $7.96 //  $15.30 // 
35565 //  Class of Heroes 2G //  $40.00 //  $49.00 //  $118.23 // 
19597 //  Cloudy with a Chance of Meatballs //  $10.83 //  $14.99 //  $26.59 // 
10807 //  College Hoops 2K7 //  $6.81 //  $9.44 //  $16.20 // 
10570 //  College Hoops 2K8 //  $26.49 //  $37.34 //  $60.00 // 
16438 //  Command & Conquer Red Alert 3 Ultimate Edition //  $9.66 //  $10.99 //  $18.99 // 
10376 //  Conan //  $6.70 //  $10.52 //  $33.67 // 
13169 //  Condemned 2 Bloodshot //  $5.98 //  $8.40 //  $26.92 // 
12105 //  Conflict Denied Ops //  $5.00 //  $6.60 //  $14.01 // 
30718 //  Create //  $5.48 //  $6.74 //  $11.27 // 
19224 //  Cross Edge //  $12.67 //  $15.11 //  $42.96 // 
31097 //  Crysis 2 //  $4.61 //  $5.95 //  $10.24 // 
52138 //  Crysis 2 [Greatest Hits] //  $2.38 //  $2.76 //  $5.00 // 
33990 //  Crysis 2: Limited Edition //  $3.98 //  $4.87 //  $11.00 // 
33844 //  Crysis 2: Nano Edition //  $5.19 //  $16.31 //  $24.44 // 
33850 //  Crysis 3 Hunter Edition //  $5.92 //  $5.95 //  $10.72 // 
30847 //  DC Universe Online //  $4.21 //  $4.92 //  $10.12 // 
38384 //  "DC Universe Online Collectors Edition" //  $20.60 //  $23.03 //  $53.57 // 
33426 //  DJ Hero (game only) //  $3.49 //  $3.64 //  $8.49 // 
30285 //  DJ Hero 2 //  $2.97 //  $4.95 //  $5.11 // 
30293 //  DJ Hero 2 [Party Bundle] //  $23.14 //  $48.44 //  $49.51 // 
30288 //  DJ Hero 2 [Turntable Bundle] //  $9.45 //  $24.99 //  $29.99 // 
19837 //  DJ Hero Renegade Edition //  $29.95 //  $30.00 //  $40.30 // 
19833 //  DJ Hero [Turntable Bundle] //  $7.25 //  $24.87 //  $35.25 // 
33791 //  DMC: Devil May Cry //  $4.88 //  $6.94 //  $9.98 // 
33025 //  Damage Inc.: Pacific Squadron WWII //  $10.65 //  $13.28 //  $20.91 // 
38230 //  Damage Inc.: Pacific Squadron WWII [Limited Edition] //  $33.27 //  $39.92 //  $69.87 // 
19225 //  Damnation //  $5.91 //  $9.00 //  $18.21 // 
30719 //  Dance Dance Revolution //  $27.99 //  $28.67 //  $59.50 // 
31084 //  Dance On Broadway //  $2.51 //  $3.02 //  $6.29 // 
20405 //  "Dantes Inferno Divine Edition" //  $6.89 //  $10.90 //  $34.99 // 
11926 //  Dark Sector //  $4.76 //  $5.99 //  $14.99 // 
31803 //  Dark Souls //  $6.99 //  $8.95 //  $13.43 // 
34730 //  Dark Souls II //  $5.92 //  $6.76 //  $10.45 // 
34728 //  Dark Souls II Black Armor Edition //  $7.05 //  $11.28 //  $23.49 // 
34732 //  "Dark Souls II Collectors Edition" //  $37.94 //  $50.64 //  $51.32 // 
35669 //  Dark Souls II: Scholar of the First Sin //  $8.47 //  $14.57 //  $18.99 // 
67495 //  Dark Souls II: Scholar of the First Sin [Greatest Hits] //   //   //   // 
31806 //  Dark Souls Limited Edition //  $17.92 //  $28.94 //  $69.89 // 
52041 //  Dark Souls [Greatest Hits] //  $7.31 //  $8.34 //  $14.61 // 
20359 //  Dark Void //  $4.19 //  $4.40 //  $9.12 // 
20339 //  Darksiders //  $4.86 //  $5.82 //  $10.65 // 
